u	i	du	di
119.52	0.918	0.37856	0.007295
120.71	1.004	0.38213	0.00751
120.98	1.025	0.38294	0.0075625
121.14	1.036	0.38342	0.00759
122.13	1.111	0.38639	0.0077775
123.34	1.201	0.39002	0.0080025
123.66	1.224	0.39098	0.00806
125.99	1.398	0.39797	0.008495
126.1	1.407	0.3983	0.0085175
126.77	1.457	0.40031	0.0086425
127.56	1.515	0.40268	0.0087875
127.9	1.54	0.4037	0.00885
128.14	1.578	0.40442	0.008945
128.81	1.609	0.40643	0.0090225
129.16	1.641	0.40748	0.0091025
129.76	1.68	0.40928	0.0092
130.94	1.77	0.41282	0.009425
131.74	1.828	0.41522	0.00957
131.93	1.841	0.41579	0.0096025
132.4	1.874	0.4172	0.009685
132.7	1.898	0.4181	0.009745
135.88	2.15	0.42764	0.055375
136.89	2.23	0.43067	0.055575
138.14	2.33	0.43442	0.055825
141.97	2.62	0.44591	0.05655
144.16	2.78	0.45248	0.05695
146.94	3	0.46082	0.0575
150.1	3.24	0.4703	0.0581
153.35	3.5	0.48005	0.05875
157.41	3.81	0.49223	0.059525
160.17	4.04	0.50051	0.0601
163.55	4.29	0.51065	0.060725
167.85	4.63	0.52355	0.061575
169.76	4.78	0.52928	0.06195
173.73	5.11	0.54119	0.062775
176.24	5.39	0.54872	0.063475
179.99	5.61	0.55997	0.064025
182.86	5.84	0.56858	0.0646
184.56	5.98	0.57368	0.06495
189.32	6.37	0.58796	0.065925
193.22	6.7	0.59966	0.06675
197.42	7.06	0.61226	0.06765
200.28	7.3	0.62084	0.06825
203.9	7.61	0.6317	0.069025
209.75	8.09	0.64925	0.070225
214.4	8.52	0.6632	0.0713
216.72	8.72	0.67016	0.0718
218.18	8.87	0.67454	0.072175
222.76	9.28	0.68828	0.0732
226.52	9.62	0.69956	0.07405
227.75	9.74	0.70325	0.07435
229.7	9.97	0.7091	0.074925
225.47	9.69	0.69641	0.074225
221.22	9.31	0.68366	0.073275
219.32	9.16	0.67796	0.0729
215.25	8.82	0.66575	0.07205
214	8.71	0.662	0.071775
210.02	8.38	0.65006	0.07095
206	8.03	0.638	0.070075
200.44	7.57	0.62132	0.068925
195.9	7.18	0.6077	0.06795
192.97	6.94	0.59891	0.06735
187.7	6.49	0.5831	0.066225
182.6	6.07	0.5678	0.065175
175.42	5.46	0.54626	0.06365
171.24	5.16	0.53372	0.0629
167.3	4.8	0.5219	0.062
164.43	4.57	0.51329	0.061425
161.8	4.31	0.5054	0.060775
157.21	4	0.49163	0.06
154.05	3.75	0.48215	0.059375
149.94	3.42	0.46982	0.05855
145.66	3.09	0.45698	0.057725
144.2	2.87	0.4526	0.057175
142.2	2.82	0.4466	0.05705
140.75	2.71	0.44225	0.056775
139.25	2.6	0.43775	0.0565
138.2	2.51	0.4346	0.056275
137.6	2.46	0.4328	0.05615
136.5	2.38	0.4295	0.05595
135.25	2.28	0.42575	0.0557
133.36	2.13	0.42008	0.055325
132.64	1.975	0.41792	0.0099375
131.48	1.971	0.41444	0.0099275
130.86	1.927	0.41258	0.0098175
130.19	1.873	0.41057	0.0096825
129.23	1.803	0.40769	0.0095075
128.58	1.751	0.40574	0.0093775
127.79	1.686	0.40337	0.009215
126.21	1.574	0.39863	0.008935
125.25	1.504	0.39575	0.00876
124.55	1.449	0.39365	0.0086225
122.82	1.32	0.38846	0.0083
121.42	1.217	0.38426	0.0080425
121.09	1.191	0.38327	0.0079775
120.7	1.162	0.3821	0.007905
119.7	1.086	0.3791	0.007715
118.9	1.027	0.3767	0.0075675
117.22	0.946	0.37166	0.007365
116.33	0.834	0.36899	0.007085
115.47	0.766	0.36641	0.006915
115.22	0.747	0.36566	0.0068675
114.9	0.721	0.3647	0.0068025
114.49	0.689	0.36347	0.0067225
114.07	0.657	0.36221	0.0066425
113.94	0.646	0.36182	0.006615
113.01	0.573	0.35903	0.0064325
112.81	0.556	0.35843	0.00639
112.61	0.539	0.35783	0.0063475
112.49	0.529	0.35747	0.0063225
112.18	0.504	0.35654	0.00626
111.74	0.465	0.35522	0.0061625
111.41	0.437	0.35423	0.0060925
111.32	0.427	0.35396	0.0060675
111.21	0.414	0.35363	0.006035
110.19	0.313	0.35057	0.0057825
109.78	0.241	0.34934	0.0056025
